customer_id,name,gender,age,joindate,country,purchase_amount
1007,Alice Smith,male,45.0,2021-12-15,uk,100.5
1019,Grace Smith,female,41.0,,canada,600.0
1003,Alice Hall,male,25.0,,uk,800.0
1012,Eva Stone,male,41.0,,india,600.0
1001,Eva Jones,male,50.0,,india,600.0
1017,Charlie Hall,male,45.0,,india,200.0
1010,Isaac Lee,male,25.0,,usa,200.0
1003,Judy Brown,female,41.0,,uk,800.0
1009,Alice Green,male,25.0,,uk,700.25
1015,Judy Lee,female,25.0,,usa,500.75
1014,David Hall,female,45.0,,india,800.0
1004,David Lee,male,41.0,,usa,800.0
1006,Bob Smith,female,45.0,,uk,100.5
1010,Isaac West,female,45.0,,usa,100.5
1016,Henry Hall,female,35.0,2021-09-28,usa,300.0
1001,Frank Green,female,45.0,,canada,100.5
1011,Alice Jones,female,35.0,,uk,700.25
1008,Henry Hall,male,45.0,,usa,500.75
1005,Charlie Stone,male,41.0,,uk,300.0
1012,Bob Jones,female,29.0,,usa,200.0
1001,David Jones,female,45.0,,india,100.5
1009,Frank Smith,male,35.0,,canada,200.0
1013,Bob Smith,female,25.0,,uk,700.25
1004,Isaac Jones,female,45.0,,india,200.0
1007,Eva Stone,male,41.0,,canada,100.5
1019,David Brown,male,29.0,,canada,600.0
1013,Eva Hall,female,45.0,,india,600.0
1012,Henry Jones,female,25.0,,india,700.25
1011,Bob Hall,male,41.0,,uk,600.0
1001,Bob Smith,male,25.0,2021-10-10,usa,600.0
1003,Henry Taylor,female,45.0,,uk,500.75
1005,Henry West,male,45.0,,usa,500.75
1015,Isaac Smith,male,25.0,,canada,100.5
1005,Judy Hall,male,25.0,,usa,100.5
1005,David West,male,25.0,2021-08-12,india,100.5
1002,David Taylor,female,50.0,,uk,500.75
